"rt","responses","trial_index","time_elapsed","ID","lang","leftIsUp","screenX","screenY","innerX","innerY","version","raw_FPS","estimated_FPS","success","key","dir","modality","actual_cross_pt","actual_graph_pt","untrust_graph_pt","nbOfFrames","correct","current_streak","longest_streak","current_bonus","total_score","steepness","number_points","standard_deviation","loop_number","button_pressed","finished","1Q0","1Q1","1Q2","1Q3","1Q4","T_test","Pearson_R","OLS_slope"
7674.79999999999,"",17,328638,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.192999999999,98.9569999999949,96.1999999999534,6,TRUE,1,3,0,18,-0.0625,6,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",0.347279066391641,0.17107960201494,0.0493435549683438
1091.5,"",18,331756,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.144,100.121999999974,96.5999999998312,6,TRUE,2,3,5,23,0,38,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",2.00529951062215,0.316981599726508,0.161530168780732
1647.69999999998,"",19,335445,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.377000000008,98.872000000003,95.699999999837,6,TRUE,3,3,7,30,0.0625,6,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",0.119035313478671,0.0594125197519123,0.0170723971888573
1649.5,"",20,339120,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.549999999988,99.7840000000142,95.7000000000698,6,TRUE,4,4,9,39,0.0625,18,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",2.25417555661168,0.490951922753571,0.180497296421291
4001.89999999997,"",21,345150,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.993000000017,99.4090000000142,96.0999999999767,6,TRUE,5,5,9,48,0.0625,18,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.40601196786312,0.331613332215776,0.24226408626377
2361.10000000006,"",22,349552,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.316000000021,98.929999999993,94.8000000000757,6,TRUE,6,6,9,57,-0.0625,38,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.93683947201753,0.307197517445457,0.171537746096506
3200.39999999994,"",23,354784,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.902000000002,99.3379999999888,96.600000000064,6,FALSE,0,6,0,57,-0.125,38,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-3.55379166923574,-0.509615175459081,-0.266414829433134
2287.10000000001,"",24,359112,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.388999999996,99.9150000000081,96.7000000000407,6,TRUE,1,6,0,57,0.1875,38,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",1.00545497592164,0.165271348920293,0.0911015785306008
1336.90000000002,"",25,362493,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.801999999996,98.6000000000058,95.5999999998894,6,FALSE,0,6,0,57,-0.1875,18,0.1,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-3.70542322378533,-0.679577805410069,-0.299250723971531
2199.00000000006,"",26,366732,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.119999999995,99.8260000000009,97.8999999999651,6,FALSE,0,6,0,57,0,38,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-1.21967227865629,-0.199204585714857,-0.0322728021600035
3193.40000000011,"",27,371955,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",999.306000000011,98.8099999999977,94.700000000099,6,FALSE,0,6,0,57,-0.125,6,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-0.499455868484431,-0.242287184666846,-0.102564743899222
1905.60000000003,"",28,375892,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"down","touchscreen",998.543000000005,99.3460000000196,96.1999999999534,6,FALSE,0,6,0,57,0,18,0.05,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",0.0620989286900144,0.015522861646033,0.00256210276247249
1317.09999999998,"",29,379248,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.467000000004,99.9110000000219,96,6,TRUE,1,6,3,60,0,66,0.2,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",0.809710861720483,0.100699377426741,0.0674852035004442
1616.40000000008,"",30,382893,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.907000000007,99.2800000000279,94.9000000000233,6,TRUE,2,6,5,65,0.1875,38,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",3.84917040577713,0.539966004108083,0.314817480586218
1477.79999999987,"",31,386397,"1cozpltunf","fr","false",1280,800,1280,338,2,54,16.6666666666667,"",NA,"up","touchscreen",998.902999999991,99.4809999999707,95.8000000000466,6,FALSE,0,6,0,65,0,6,0.15,1,NA,2021-07-01 02:29:04.430843,"M","6","left","NA","NA",-0.698140809307577,-0.329568431268661,-0.0928570565585082
