sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
97472,R_1FzG8hgqGnz2wzH,1,336,12,0.131700,0.15,2,2,false,10487,P,training
97472,R_1FzG8hgqGnz2wzH,2,115,20,-0.221700,0.15,2,2,false,5975,Q,training
97472,R_1FzG8hgqGnz2wzH,3,283,14,0.043700,0.15,2,2,true,759,Q,training
97472,R_1FzG8hgqGnz2wzH,4,337,12,0.131700,0.15,2,2,false,1168,P,training
97472,R_1FzG8hgqGnz2wzH,5,171,18,-0.131700,0.15,2,2,true,650,P,training
97472,R_1FzG8hgqGnz2wzH,6,225,16,-0.043700,0.15,2,2,false,825,Q,training
97472,R_1FzG8hgqGnz2wzH,7,281,14,0.043700,0.15,2,2,true,387,Q,training
97472,R_1FzG8hgqGnz2wzH,8,282,14,0.043700,0.15,2,2,true,479,Q,training
97472,R_1FzG8hgqGnz2wzH,9,451,8,0.315300,0.15,2,2,false,1277,P,training
97472,R_1FzG8hgqGnz2wzH,10,449,8,0.315300,0.15,2,2,false,664,P,training
97472,R_1FzG8hgqGnz2wzH,11,169,18,-0.131700,0.15,2,2,true,934,P,training
97472,R_1FzG8hgqGnz2wzH,12,56,22,-0.315300,0.15,2,2,false,691,Q,training
97472,R_1FzG8hgqGnz2wzH,13,226,16,-0.043700,0.15,2,2,true,4324,P,training
97472,R_1FzG8hgqGnz2wzH,14,59,22,-0.315300,0.15,2,2,true,1285,P,training
97472,R_1FzG8hgqGnz2wzH,15,58,22,-0.315300,0.15,2,2,true,868,P,training
97472,R_1FzG8hgqGnz2wzH,16,450,8,0.315300,0.15,2,2,true,617,Q,training
97472,R_1FzG8hgqGnz2wzH,17,394,10,0.221700,0.15,2,2,false,844,P,training
97472,R_1FzG8hgqGnz2wzH,18,393,10,0.221700,0.15,2,2,false,415,P,training
97472,R_1FzG8hgqGnz2wzH,19,112,20,-0.221700,0.15,2,2,false,692,Q,training
97472,R_1FzG8hgqGnz2wzH,20,227,16,-0.043700,0.15,2,2,false,251,Q,training
97472,R_1FzG8hgqGnz2wzH,21,170,18,-0.131700,0.15,2,2,true,289,P,training
